date,home_team,away_team,home_score,away_score,gameweek,home_xg,away_xg
2019-12-21,Newcastle,Crystal Palace,1,0,18,0.67,0.92
2019-12-21,Norwich,Wolves,1,2,18,1.18,1.54
2019-12-21,Man City,Leicester,3,1,18,3.36,0.95
2019-12-22,Watford,Man Utd,2,0,18,1.49,1.43
2019-12-22,Spurs,Chelsea,0,2,18,0.26,1.40
2019-12-26,Spurs,Brighton,2,1,19,0.96,1.02
2019-12-26,Aston Villa,Norwich,1,0,19,0.61,1.36
2019-12-26,Bournemouth,Arsenal,1,1,19,1.45,1.33
2019-12-26,Chelsea,Southampton,0,2,19,0.80,0.92
2019-12-26,Crystal Palace,West Ham,2,1,19,2.00,0.74
2019-12-26,Everton,Burnley,1,0,19,1.38,0.53
2019-12-26,Sheffield Utd,Watford,1,1,19,1.91,0.56
2019-12-26,Man Utd,Newcastle,4,1,19,1.87,0.98
2019-12-26,Leicester,Liverpool,0,4,19,0.11,3.52
2019-12-27,Wolves,Man City,3,2,19,2.24,1.42
2019-12-28,Brighton,Bournemouth,2,0,20,0.99,0.47
2019-12-28,Newcastle,Everton,1,2,20,1.53,2.64
2019-12-28,Southampton,Crystal Palace,1,1,20,1.38,0.13
2019-12-28,Watford,Aston Villa,3,0,20,3.04,0.57
2019-12-28,Norwich,Spurs,2,2,20,0.25,1.70
2019-12-28,West Ham,Leicester,1,2,20,0.73,2.45
2019-12-28,Burnley,Man Utd,0,2,20,0.36,1.97
2019-12-29,Arsenal,Chelsea,1,2,20,0.73,1.40
2019-12-29,Liverpool,Wolves,1,0,20,1.39,0.34
2019-12-29,Man City,Sheffield Utd,2,0,20,1.02,1.15
2020-01-01,Brighton,Chelsea,1,1,21,1.47,1.47
2020-01-01,Burnley,Aston Villa,1,2,21,2.19,1.63
2020-01-01,Newcastle,Leicester,0,3,21,0.73,2.28
2020-01-01,Southampton,Spurs,1,0,21,1.41,1.01
2020-01-01,Watford,Wolves,2,1,21,1.00,1.15
2020-01-01,Man City,Everton,2,1,21,1.68,0.79
2020-01-01,Norwich,Crystal Palace,1,1,21,1.56,1.21
2020-01-01,West Ham,Bournemouth,4,0,21,2.18,0.67
2020-01-01,Arsenal,Man Utd,2,0,21,1.78,0.67
2020-01-02,Liverpool,Sheffield Utd,2,0,21,2.85,0.59
2020-01-10,Sheffield Utd,West Ham,1,0,22,1.90,0.85
2020-01-11,Crystal Palace,Arsenal,1,1,22,0.30,1.35
2020-01-11,Chelsea,Burnley,3,0,22,2.69,0.67
2020-01-11,Everton,Brighton,1,0,22,1.89,1.43
2020-01-11,Leicester,Southampton,1,2,22,0.73,2.25
2020-01-11,Man Utd,Norwich,4,0,22,2.93,0.26
2020-01-11,Wolves,Newcastle,1,1,22,1.91,0.17
2020-01-11,Spurs,Liverpool,0,1,22,1.03,1.63
2020-01-12,Bournemouth,Watford,0,3,22,0.30,2.15
2020-01-12,Aston Villa,Man City,1,6,22,1.05,3.51
2020-01-18,Watford,Spurs,0,0,23,2.24,1.65
2020-01-18,Arsenal,Sheffield Utd,1,1,23,1.15,1.11
2020-01-18,Brighton,Aston Villa,1,1,23,1.22,0.95
2020-01-18,Man City,Crystal Palace,2,2,23,2.31,0.55
2020-01-18,Norwich,Bournemouth,1,0,23,1.65,0.52
2020-01-18,Southampton,Wolves,2,3,23,0.74,2.03
2020-01-18,West Ham,Everton,1,1,23,1.57,1.83
2020-01-18,Newcastle,Chelsea,1,0,23,0.83,1.92
2020-01-19,Burnley,Leicester,2,1,23,1.41,2.18
2020-01-19,Liverpool,Man Utd,2,0,23,1.88,1.33
2020-01-21,Aston Villa,Watford,2,1,24,1.00,1.69
2020-01-21,Bournemouth,Brighton,3,1,24,1.80,1.84
2020-01-21,Crystal Palace,Southampton,0,2,24,0.63,1.06
2020-01-21,Everton,Newcastle,2,2,24,1.92,0.53
